CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
3c8ef68fae4f,sfe_drone,109.81%,408.8MiB,1.938GiB,20.60%,44MB,44.5MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,53.35%,411.5MiB,1.938GiB,20.73%,44.5MB,44MB,0B,2.4MB,6
3c8ef68fae4f,sfe_drone,109.81%,408.8MiB,1.938GiB,20.60%,44MB,44.5MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,53.35%,411.5MiB,1.938GiB,20.73%,44.5MB,44MB,0B,2.4MB,6
3c8ef68fae4f,sfe_drone,12.24%,408.8MiB,1.938GiB,20.59%,44MB,44.5MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,99.70%,411.5MiB,1.938GiB,20.73%,44.5MB,44MB,0B,2.4MB,6
3c8ef68fae4f,sfe_drone,12.24%,408.8MiB,1.938GiB,20.59%,44MB,44.5MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,99.70%,411.5MiB,1.938GiB,20.73%,44.5MB,44MB,0B,2.4MB,6
3c8ef68fae4f,sfe_drone,17.39%,409MiB,1.938GiB,20.61%,44.1MB,44.6MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,103.97%,411.8MiB,1.938GiB,20.74%,44.6MB,44.1MB,0B,2.4MB,12
3c8ef68fae4f,sfe_drone,17.39%,409MiB,1.938GiB,20.61%,44.1MB,44.6MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,103.97%,411.8MiB,1.938GiB,20.74%,44.6MB,44.1MB,0B,2.4MB,12
3c8ef68fae4f,sfe_drone,100.87%,418MiB,1.938GiB,21.06%,44.1MB,44.6MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,52.74%,420.8MiB,1.938GiB,21.20%,44.6MB,44.1MB,0B,2.4MB,8
3c8ef68fae4f,sfe_drone,100.87%,418MiB,1.938GiB,21.06%,44.1MB,44.6MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,52.74%,420.8MiB,1.938GiB,21.20%,44.6MB,44.1MB,0B,2.4MB,8
3c8ef68fae4f,sfe_drone,102.97%,427.3MiB,1.938GiB,21.53%,44.2MB,44.7MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,65.00%,430.2MiB,1.938GiB,21.67%,44.7MB,44.2MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,102.97%,427.3MiB,1.938GiB,21.53%,44.2MB,44.7MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,65.00%,430.2MiB,1.938GiB,21.67%,44.7MB,44.2MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,58.71%,436.9MiB,1.938GiB,22.01%,44.3MB,44.8MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,105.56%,439.7MiB,1.938GiB,22.15%,44.8MB,44.3MB,0B,2.41MB,12
3c8ef68fae4f,sfe_drone,58.71%,436.9MiB,1.938GiB,22.01%,44.3MB,44.8MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,105.56%,439.7MiB,1.938GiB,22.15%,44.8MB,44.3MB,0B,2.41MB,12
3c8ef68fae4f,sfe_drone,73.16%,445.9MiB,1.938GiB,22.47%,44.4MB,44.9MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,106.21%,448.7MiB,1.938GiB,22.60%,44.9MB,44.4MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,73.16%,445.9MiB,1.938GiB,22.47%,44.4MB,44.9MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,106.21%,448.7MiB,1.938GiB,22.60%,44.9MB,44.4MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,67.57%,455.2MiB,1.938GiB,22.93%,44.5MB,45MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,98.35%,458MiB,1.938GiB,23.07%,45MB,44.5MB,0B,2.41MB,8
3c8ef68fae4f,sfe_drone,67.57%,455.2MiB,1.938GiB,22.93%,44.5MB,45MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,98.35%,458MiB,1.938GiB,23.07%,45MB,44.5MB,0B,2.41MB,8
3c8ef68fae4f,sfe_drone,111.08%,464.5MiB,1.938GiB,23.40%,44.6MB,45.1MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,61.12%,467.3MiB,1.938GiB,23.54%,45.1MB,44.6MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,111.08%,464.5MiB,1.938GiB,23.40%,44.6MB,45.1MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,61.12%,467.3MiB,1.938GiB,23.54%,45.1MB,44.6MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,105.45%,473.8MiB,1.938GiB,23.87%,44.7MB,45.2MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,106.07%,476.5MiB,1.938GiB,24.01%,45.2MB,44.7MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,105.45%,473.8MiB,1.938GiB,23.87%,44.7MB,45.2MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,106.07%,476.5MiB,1.938GiB,24.01%,45.2MB,44.7MB,0B,2.41MB,6
3c8ef68fae4f,sfe_drone,11.38%,473.8MiB,1.938GiB,23.87%,44.7MB,45.2MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,100.33%,476.5MiB,1.938GiB,24.01%,45.2MB,44.7MB,0B,2.42MB,6
3c8ef68fae4f,sfe_drone,11.38%,473.8MiB,1.938GiB,23.87%,44.7MB,45.2MB,0B,2.24MB,7
4792b602a5f2,sfe_laptop,100.33%,476.5MiB,1.938GiB,24.01%,45.2MB,44.7MB,0B,2.42MB,6
3c8ef68fae4f,sfe_drone,59.21%,483.1MiB,1.938GiB,24.34%,44.8MB,45.3MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,105.26%,486MiB,1.938GiB,24.48%,45.3MB,44.8MB,0B,2.42MB,6
3c8ef68fae4f,sfe_drone,59.21%,483.1MiB,1.938GiB,24.34%,44.8MB,45.3MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,105.26%,486MiB,1.938GiB,24.48%,45.3MB,44.8MB,0B,2.42MB,6
3c8ef68fae4f,sfe_drone,93.23%,483.7MiB,1.938GiB,24.37%,44.8MB,45.3MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,105.88%,486.7MiB,1.938GiB,24.52%,45.3MB,44.8MB,0B,2.42MB,12
3c8ef68fae4f,sfe_drone,93.23%,483.7MiB,1.938GiB,24.37%,44.8MB,45.3MB,0B,2.24MB,11
4792b602a5f2,sfe_laptop,105.88%,486.7MiB,1.938GiB,24.52%,45.3MB,44.8MB,0B,2.42MB,12
3c8ef68fae4f,sfe_drone,99.86%,492.5MiB,1.938GiB,24.81%,44.8MB,45.4MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,51.04%,495.2MiB,1.938GiB,24.95%,45.4MB,44.8MB,0B,2.42MB,8
3c8ef68fae4f,sfe_drone,99.86%,492.5MiB,1.938GiB,24.81%,44.8MB,45.4MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,51.04%,495.2MiB,1.938GiB,24.95%,45.4MB,44.8MB,0B,2.42MB,8
3c8ef68fae4f,sfe_drone,100.44%,492.5MiB,1.938GiB,24.81%,44.8MB,45.4MB,0B,2.24MB,5
